,p0q0
239,1.2
240,1.6
241,0.5
242,2.1
243,1.0
244,1.2
245,0.2
246,0.1
247,1.4
248,1.5
249,0.6
250,0.1
251,0.2
252,1.5
253,1.4
254,0.6
255,1.0
256,0.5
257,1.4
258,0.5
259,2.6
260,1.2
261,0.7
262,0.6
263,0.2
264,0.6
265,0.7
266,1.4
267,0.7
268,1.4
269,0.7
270,0.3
271,0.5
272,0.0
273,0.0
274,0.6
275,0.6
276,0.1
277,0.3
278,0.3
279,0.4
280,0.4
281,0.0
282,1.0
283,0.3
284,0.0
285,0.0
286,0.6
287,0.1
288,0.4
289,1.0
290,0.9
291,0.0
292,0.1
293,0.2
294,0.5
295,0.8
296,0.1
297,0.4
298,0.7
299,0.2
300,0.5
301,0.7
302,0.4
303,0.3
304,0.5
305,0.0
306,0.2
307,0.5
308,0.8
309,0.4
310,0.3
311,0.6
312,0.1
313,0.4
314,0.5
315,0.2
316,1.5
317,0.2
318,0.1
319,1.1
320,0.5
321,0.2
322,0.0
323,0.7
324,0.6
325,0.4
326,0.1
327,1.4
328,1.0
329,0.5
330,0.0
331,1.2
332,0.0
333,0.3
334,0.9
335,1.5
336,0.0
337,0.7
338,0.5
339,1.7
340,0.2
341,0.3
342,0.9
343,1.3
344,0.0
345,0.6
346,0.3
347,0.7
348,0.2
349,0.3
350,1.6
351,2.8
352,0.0
353,1.1
354,1.0
355,1.6
356,0.0
357,0.2
358,1.5
359,1.9
360,0.0
361,1.1
362,0.4
363,1.9
364,0.0
365,1.2
366,0.5
367,0.7
368,0.0
369,0.4
370,0.0
371,2.3
372,1.7
373,0.0
374,0.5
375,1.2
376,1.8
377,0.0
378,0.6
379,0.0
380,0.6
381,0.4
382,0.6
383,0.4
384,0.3
385,0.2
386,1.6
387,0.1
388,0.5
389,0.8
390,0.5
391,0.3
392,0.7
393,0.8
394,0.8
395,0.3
396,0.7
397,0.8
398,1.3
399,0.3
400,0.6
401,1.2
402,0.9
403,0.2
404,0.7
405,0.8
406,0.9
407,0.4
408,0.9
409,1.2
410,0.9
411,0.6
412,0.4
413,0.5
414,1.2
415,0.3
416,0.5
417,0.6
418,0.1
419,0.7
420,1.0
421,0.0
422,0.6
423,0.6
424,0.1
425,1.0
426,0.3
427,0.6
428,0.5
429,1.3
430,0.2
431,0.8
432,1.9
433,0.3
434,0.1
435,0.9
436,0.9
437,1.3
438,0.6
439,0.2
440,1.3
441,0.8
442,0.3
443,0.9
444,0.5
445,0.1
446,0.1
447,0.0
448,0.4
449,0.1
450,0.0
451,0.7
452,0.0
453,0.0
454,1.7
455,0.1
456,0.2
457,0.8
458,1.0
459,0.1
460,0.9
461,0.2
462,0.0
463,0.4
464,0.0
465,0.1
466,0.7
467,0.2
468,0.8
469,0.8
470,0.5
471,0.5
472,0.2
473,0.6
474,0.3
475,0.4
476,0.5
477,0.3
478,0.3
479,0.8
480,0.5
481,0.3
482,0.6
483,0.2
484,0.2
485,0.6
486,0.6
487,0.1
488,0.4
489,0.5
490,0.4
491,0.0
492,0.3
493,0.4
494,0.3
495,0.1
496,0.0
497,0.6
498,0.4
499,0.4
500,0.5
501,0.5
502,0.2
503,0.3
504,0.0
505,0.7
506,0.2
507,0.4
508,0.0
509,1.1
510,0.0
511,1.0
512,0.2
513,0.5
514,0.4
515,0.4
516,0.7
517,0.5
518,0.2
519,0.2
520,0.1
521,0.3
522,0.6
523,0.2
524,0.5
525,0.4
526,0.5
527,0.8
528,0.7
529,0.9
530,0.5
531,0.7
532,0.1
533,0.1
534,0.6
535,0.7
536,0.5
537,0.4
538,0.1
539,0.0
540,0.9
541,0.1
542,0.6
543,0.0
544,0.4
545,0.1
546,0.1
547,0.0
548,0.0
549,0.0
550,0.7
551,0.0
552,0.0
553,0.0
554,0.2
555,0.0
556,0.0
557,0.2
558,0.4
559,0.0
560,0.0
561,0.2
562,0.1
563,0.0
564,0.2
565,0.1
566,0.2
567,0.0
568,0.0
569,0.0
570,0.2
571,0.0
572,0.2
573,0.1
574,0.6
575,0.0
576,0.0
577,0.2
578,0.4
579,0.0
580,0.0
581,0.0
582,0.2
583,0.6
584,0.5
585,0.0
586,0.5
587,0.3
588,0.4
589,0.2
590,0.2
591,0.2
592,0.5
593,0.2
594,0.2
595,0.8
596,0.9
597,0.0
598,0.0
599,0.3
600,0.2
601,0.0
602,0.0
603,0.1
604,0.6
605,0.0
606,0.0
607,0.0
608,0.1
609,0.0
610,0.0
611,0.1
612,0.4
613,0.0
614,0.3
615,0.1
616,0.2
617,0.4
618,0.5
619,0.4
620,1.0
621,0.0
622,0.3
623,0.0
624,0.2
625,0.5
626,0.6
627,0.1
628,0.0
629,0.7
630,0.1
631,0.0
632,0.6
633,0.1
634,0.2
635,0.2
636,0.2
637,0.3
638,0.4
639,0.2
640,0.7
641,0.2
642,0.1
643,0.2
644,0.0
645,0.1
646,0.7
647,0.1
648,1.0
649,0.0
650,0.1
651,0.7
652,0.1
653,0.0
654,1.1
655,0.0
656,0.5
657,0.0
658,0.0
659,0.0
660,0.6
661,0.9
662,0.4
663,0.3
664,0.4
665,0.6
666,0.6
667,0.3
668,0.3
669,0.2
670,0.2
671,0.2
672,0.1
673,0.7
674,0.1
675,1.3
676,0.4
677,0.4
678,0.2
679,0.5
680,0.0
681,0.6
682,0.2
683,0.4
684,0.6
685,0.6
686,0.2
687,1.3
688,0.0
689,1.2
690,0.4
691,1.2
692,0.4
693,0.8
694,0.1
695,0.3
696,0.3
697,0.2
698,0.0
699,0.5
700,0.0
701,0.2
702,0.0
703,0.7
704,0.0
705,0.6
706,0.0
707,0.5
708,0.2
709,0.7
710,0.1
711,0.9
712,0.2
713,0.4
714,0.2
715,0.3
716,0.2
717,0.3
718,1.3
719,0.5
720,0.3
721,0.6
722,1.0
723,1.0
724,0.3
725,0.3
726,0.6
727,0.4
728,0.2
729,0.2
730,0.5
731,0.1
732,0.0
733,0.5
734,1.2
735,1.0
736,0.1
737,0.1
738,0.4
739,0.1
740,0.5
741,0.3
742,0.5
743,0.0
744,1.2
745,0.2
746,0.4
747,0.0
748,0.4
749,0.1
750,0.2
751,0.4
752,0.1
753,0.6
754,0.0
755,0.6
756,0.4
757,0.3
758,0.3
759,0.3
760,0.6
761,0.5
762,0.0
763,0.4
764,0.7
765,0.4
766,0.4
767,1.2
768,0.3
769,0.5
770,0.0
771,0.4
772,0.3
773,0.5
774,0.2
775,0.9
776,0.5
777,0.1
778,0.6
779,1.3
780,0.4
781,0.2
782,0.6
783,0.1
784,0.6
785,0.3
786,0.7
787,0.6
788,0.3
789,0.5
790,0.7
791,0.5
792,0.6
793,0.3
794,0.1
795,0.2
796,0.9
797,0.3
798,0.5
799,0.5
800,0.7
801,0.8
802,0.8
803,0.1
804,0.6
805,0.4
806,0.2
807,0.1
808,1.2
809,0.3
810,1.0
811,0.4
812,0.1
813,0.4
814,0.0
815,0.9
816,0.5
817,0.1
818,1.3
819,0.5
820,0.4
821,0.4
822,0.0
823,0.2
824,1.0
825,0.1
826,0.1
827,0.2
828,1.3
829,0.6
830,0.2
831,0.4
832,0.0
833,0.2
834,0.9
835,0.3
836,0.3
837,0.1
838,0.3
839,0.2
840,0.5
841,0.3
842,0.9
843,0.4
844,0.5
845,0.5
846,0.4
847,0.0
848,0.1
849,0.1
850,1.1
851,0.3
852,0.0
853,0.2
854,0.3
855,0.2
856,1.0
857,0.0
858,0.8
859,0.4
860,0.6
861,0.5
862,1.6
863,0.6
864,1.1
865,0.1
866,1.3
867,0.8
868,0.6
869,0.1
870,0.1
871,0.3
872,0.9
873,0.3
874,0.4
875,0.2
876,0.2
877,1.1
878,0.3
879,0.2
880,0.4
881,0.5
882,0.2
883,0.7
884,0.8
885,0.3
886,0.3
887,0.7
888,0.6
889,0.9
890,0.9
891,0.9
892,0.6
893,0.9
894,1.2
895,1.2
896,0.6
897,0.5
898,0.6
899,0.3
900,0.3
901,0.3
902,0.9
903,0.4
904,1.1
905,0.1
906,0.4
907,0.2
908,1.4
909,0.8
910,0.6
911,0.5
912,0.8
913,0.4
914,0.8
915,0.5
916,1.5
917,0.4
918,0.2
919,0.6
920,0.7
921,0.2
922,0.6
923,0.1
924,0.6
925,0.3
926,1.2
927,1.3
928,0.4
929,0.7
930,0.5
931,1.3
932,1.4
933,0.1
934,0.7
935,1.5
936,1.4
937,0.3
938,0.8
939,1.1
940,1.3
941,0.7
942,0.5
943,0.9
944,0.8
945,0.5
946,0.0
947,1.5
948,0.7
949,0.4
950,1.1
951,0.1
952,1.4
953,0.5
954,1.0
955,1.3
956,1.5
957,0.5
958,0.9
959,0.8
960,0.7
961,0.8
962,0.6
963,0.9
964,1.2
965,0.2
966,0.3
967,1.2
968,0.8
969,0.1
970,2.5
971,1.9
972,2.3
973,0.0
974,0.6
975,1.8
976,1.2
977,0.7
978,0.2
979,0.4
980,0.8
981,0.8
982,0.4
983,0.5
984,0.8
985,0.5
986,0.7
987,1.8
988,1.4
989,0.3
990,0.7
991,0.8
992,1.4
993,0.4
994,0.7
995,0.4
996,0.5
997,0.4
998,0.8
999,0.6
1000,0.8
1001,0.4
1002,1.2
1003,0.2
1004,1.4
1005,0.5
1006,0.1
1007,1.1
1008,0.5
1009,0.2
1010,1.0
1011,1.2
1012,0.2
1013,0.3
1014,0.3
1015,0.4
1016,0.5
1017,0.1
1018,0.7
1019,0.6
1020,0.2
1021,0.3
1022,1.3
1023,0.7
1024,0.2
1025,0.0
1026,0.5
1027,0.6
1028,0.3
1029,0.0
1030,0.4
1031,0.8
1032,0.0
1033,0.0
1034,0.4
1035,0.2
1036,0.6
1037,0.2
1038,0.7
1039,0.0
1040,0.6
1041,0.5
1042,0.6
1043,0.9
1044,0.6
1045,0.3
1046,0.6
1047,1.3
1048,1.4
1049,0.2
1050,0.5
1051,1.5
1052,0.7
1053,0.9
1054,0.8
1055,0.9
1056,0.7
1057,0.2
1058,0.2
1059,1.2
1060,0.4
1061,0.4
1062,0.7
1063,1.1
1064,0.3
1065,0.2
1066,0.8
1067,0.9
1068,0.4
1069,0.1
1070,0.2
1071,0.9
1072,0.4
1073,0.0
1074,0.5
1075,1.0
1076,0.2
1077,0.6
1078,0.5
1079,1.0
1080,0.3
1081,0.0
1082,0.2
1083,0.9
1084,1.7
1085,0.0
1086,0.2
1087,0.4
1088,2.5
1089,0.0
1090,0.1
1091,1.3
1092,1.3
1093,0.1
1094,0.2
1095,1.0
1096,1.5
1097,0.0
1098,0.3
1099,1.3
1100,1.5
1101,0.0
1102,0.2
1103,0.4
1104,1.8
1105,0.0
1106,0.9
1107,1.5
1108,0.0
1109,0.5
1110,0.6
1111,2.0
1112,0.0
1113,1.0
1114,0.2
1115,0.2
1116,0.6
1117,1.3
1118,0.0
1119,0.4
1120,0.3
1121,1.6
1122,0.0
1123,0.3
1124,0.4
1125,2.1
1126,0.1
1127,0.7
1128,0.8
1129,1.7
1130,0.0
1131,0.4
1132,1.3
1133,1.8
1134,0.0
1135,0.3
1136,0.7
1137,1.5
1138,0.0
1139,0.5
1140,0.3
1141,1.1
1142,1.7
1143,0.5
1144,0.3
1145,0.8
1146,1.6
1147,0.0
1148,0.1
1149,0.7
1150,1.4
1151,0.0
1152,1.1
1153,0.4
1154,0.4
1155,0.2
1156,0.8
1157,0.6
1158,0.1
1159,0.0
1160,0.8
1161,0.3
1162,0.2
1163,1.0
1164,0.3
1165,0.9
1166,0.6
1167,0.2
1168,0.7
1169,0.7
1170,0.3
1171,0.9
1172,0.9
1173,0.4
1174,0.6
1175,0.0
1176,0.6
1177,0.6
1178,0.0
1179,0.9
1180,0.3
1181,0.0
1182,0.6
1183,1.2
1184,0.2
1185,0.0
1186,0.9
1187,1.0
1188,0.2
1189,0.5
1190,0.7
1191,0.2
1192,0.4
1193,0.6
1194,0.8
1195,0.0
1196,0.7
1197,0.7
1198,0.0
1199,1.0
1200,0.5
1201,0.0
1202,0.3
1203,0.8
1204,0.0
1205,0.6
1206,0.8
1207,0.0
1208,0.6
1209,0.1
1210,0.0
1211,0.4
1212,1.0
1213,0.1
1214,0.0
1215,0.4
1216,0.5
1217,0.0
1218,0.6
1219,0.7
1220,0.1
1221,1.3
1222,0.3
1223,0.1
1224,0.1
1225,0.4
1226,0.9
1227,0.0
1228,1.2
1229,0.6
1230,0.0
1231,1.0
1232,0.5
1233,0.3
1234,0.1
1235,0.3
1236,0.2
1237,1.0
1238,0.3
1239,0.3
1240,0.6
1241,0.5
1242,1.2
1243,0.3
1244,0.0
1245,0.8
1246,0.7
1247,0.1
1248,0.6
1249,0.4
1250,0.4
1251,0.5
1252,0.7
1253,0.0
1254,0.0
1255,0.1
1256,0.2
1257,0.0
1258,0.0
1259,0.0
1260,0.1
1261,0.1
1262,0.1
1263,0.0
1264,0.1
1265,0.0
1266,0.1
1267,0.0
1268,0.1
1269,0.0
1270,0.0
1271,0.2
1272,0.0
1273,0.2
1274,0.0
1275,0.1
1276,0.1
1277,0.0
1278,0.1
1279,0.0
1280,0.7
1281,0.0
1282,0.1
1283,0.0
1284,0.2
1285,0.0
1286,0.2
1287,0.1
1288,0.2
1289,0.2
1290,0.4
1291,1.0
1292,0.4
1293,0.0
1294,0.5
1295,0.6
1296,0.0
1297,0.4
1298,0.4
1299,1.3
1300,1.3
1301,0.4
1302,0.2
1303,0.1
1304,0.0
1305,0.5
1306,0.5
1307,0.0
1308,0.4
1309,0.6
1310,2.0
1311,0.0
1312,0.3
1313,0.4
1314,2.6
1315,0.1
1316,0.4
1317,1.2
1318,1.3
1319,0.0
1320,0.3
1321,0.7
1322,0.9
1323,0.3
1324,1.8
1325,0.3
1326,0.8
1327,0.2
1328,0.5
1329,0.4
1330,0.7
1331,0.0
1332,0.5
1333,0.4
1334,0.3
1335,0.2
1336,0.3
1337,0.6
1338,0.6
1339,0.3
1340,0.4
1341,0.7
1342,0.7
1343,0.6
1344,0.6
1345,0.3
1346,0.1
1347,0.3
1348,0.0
1349,0.3
1350,0.0
1351,0.1
1352,0.0
1353,0.1
1354,0.3
1355,0.0
1356,0.3
1357,0.1
1358,0.6
1359,0.0
1360,0.2
1361,0.3
1362,0.1
1363,0.4
1364,0.2
1365,0.1
1366,0.3
1367,0.6
1368,0.4
1369,0.0
1370,0.6
1371,0.2
1372,0.7
1373,0.1
1374,0.8
1375,0.1
1376,0.3
1377,0.1
1378,0.2
1379,0.5
1380,0.2
1381,0.9
1382,0.3
1383,0.4
1384,0.6
1385,0.5
1386,0.9
1387,0.2
1388,0.1
1389,0.9
1390,0.2
1391,0.1
1392,0.1
1393,0.4
1394,0.3
1395,0.6
1396,0.0
1397,0.4
1398,0.2
1399,0.5
1400,0.4
1401,0.6
1402,0.0
1403,0.3
1404,0.9
1405,0.3
1406,0.3
1407,0.4
1408,0.0
1409,0.2
1410,0.3
1411,0.5
1412,0.3
1413,0.5
1414,0.9
1415,0.6
1416,1.4
1417,0.3
1418,0.0
1419,0.8
1420,0.4
1421,0.0
1422,0.9
1423,0.0
1424,0.2
1425,1.1
1426,0.2
1427,0.2
1428,0.8
1429,0.2
1430,0.3
1431,0.8
1432,0.2
1433,0.5
1434,0.4
1435,0.0
1436,0.2
1437,0.2
1438,0.0
1439,0.8
1440,0.2
1441,0.1
1442,0.6
1443,0.1
1444,0.0
1445,0.2
1446,0.2
1447,0.0
1448,0.9
1449,0.6
1450,0.2
1451,0.9
1452,0.4
1453,0.5
1454,0.3
1455,0.4
1456,0.6
1457,1.5
1458,0.5
1459,0.1
1460,1.6
1461,0.8
1462,0.1
1463,0.6
1464,1.5
1465,1.4
1466,0.2
1467,0.4
1468,0.1
1469,0.6
1470,0.5
1471,0.0
1472,0.0
1473,0.6
1474,0.0
1475,1.4
1476,1.8
1477,0.4
1478,0.5
1479,1.6
1480,1.4
1481,0.9
1482,1.1
1483,0.5
1484,1.2
1485,0.5
1486,0.5
1487,0.9
1488,0.5
1489,0.8
1490,0.0
1491,0.0
1492,0.6
1493,0.1
1494,0.4
1495,0.5
1496,0.3
1497,0.6
1498,0.3
1499,0.8
1500,0.1
1501,0.0
1502,0.3
1503,0.5
1504,0.6
1505,0.0
1506,0.2
1507,0.7
1508,0.9
1509,0.0
1510,0.0
1511,0.5
1512,0.4
1513,0.0
1514,0.0
1515,0.7
1516,0.2
1517,0.0
1518,0.0
1519,0.7
1520,0.8
1521,0.1
1522,0.4
1523,0.6
1524,0.7
1525,0.3
1526,0.4
1527,0.8
1528,0.3
1529,0.2
1530,0.5
1531,0.2
1532,0.6
1533,0.5
1534,0.3
1535,0.4
1536,0.7
1537,0.4
1538,0.1
1539,0.5
1540,0.2
1541,0.3
1542,0.2
1543,0.9
1544,0.2
1545,0.4
1546,0.1
1547,0.7
1548,0.6
1549,0.5
1550,1.2
1551,0.1
1552,0.5
1553,0.7
1554,0.2
1555,0.2
1556,0.8
1557,0.6
1558,1.1
1559,0.6
1560,0.7
1561,1.0
1562,0.0
1563,0.5
1564,2.0
1565,0.0
1566,0.3
1567,2.1
1568,1.4
1569,0.0
1570,0.4
1571,1.0
1572,1.9
1573,0.0
1574,0.9
1575,0.2
1576,1.8
1577,0.0
1578,0.4
1579,0.7
1580,1.4
1581,0.0
1582,0.6
1583,1.2
1584,1.7
1585,0.7
1586,0.6
1587,0.4
1588,0.0
1589,0.5
1590,0.5
1591,0.7
1592,2.4
1593,0.0
1594,0.0
1595,1.3
1596,1.4
1597,0.0
1598,0.4
1599,0.9
1600,0.6
1601,0.0
1602,0.4
1603,0.0
1604,0.5
1605,0.4
1606,0.3
1607,0.6
1608,1.8
1609,0.0
1610,0.5
1611,0.0
1612,0.4
1613,0.9
1614,0.3
1615,0.8
1616,0.7
1617,0.9
1618,0.4
1619,0.4
1620,0.9
1621,0.4
1622,0.8
1623,0.9
1624,0.2
1625,1.0
1626,0.2
1627,0.2
1628,0.1
1629,0.5
1630,0.8
1631,0.6
1632,0.7
1633,1.1
1634,0.2
1635,0.1
1636,0.2
1637,0.7
1638,0.4
1639,0.5
1640,0.5
1641,1.2
1642,0.4
1643,0.4
1644,0.8
1645,0.7
1646,0.4
1647,0.8
1648,0.4
1649,0.7
1650,0.1
1651,0.7
1652,0.2
1653,0.3
1654,0.8
1655,0.7
1656,0.0
1657,0.8
1658,0.3
1659,0.0
1660,1.2
1661,0.8
1662,0.3
1663,0.2
1664,1.5
1665,0.3
1666,0.6
1667,1.1
1668,0.1
1669,0.2
1670,0.6
1671,0.4
1672,0.3
1673,0.3
1674,1.3
1675,0.3
1676,0.4
1677,0.8
1678,1.3
1679,0.6
1680,0.1
1681,0.0
1682,0.7
1683,0.4
1684,0.2
1685,0.0
1686,0.0
1687,0.2
1688,0.0
1689,0.0
1690,0.4
1691,0.0
1692,0.2
1693,0.5
1694,0.1
1695,0.3
1696,0.0
1697,0.2
1698,0.5
1699,0.0
1700,0.1
1701,0.8
1702,0.2
1703,0.2
1704,1.2
1705,0.7
1706,0.5
1707,0.0
1708,0.1
1709,0.4
1710,0.5
1711,0.6
1712,0.9
1713,0.5
1714,0.8
1715,0.4
1716,0.5
1717,0.2
1718,0.0
1719,0.4
1720,0.2
1721,0.4
1722,0.1
1723,0.4
1724,0.0
1725,0.5
1726,0.9
1727,0.2
1728,0.2
1729,1.3
1730,0.3
1731,0.4
1732,0.7
1733,0.5
1734,0.4
1735,0.1
1736,0.2
1737,0.4
1738,0.1
1739,0.0
1740,1.3
1741,0.1
1742,0.9
1743,0.0
1744,0.5
1745,0.2
1746,0.6
1747,0.2
1748,0.4
1749,0.0
1750,1.2
1751,2.7
1752,0.3
1753,0.2
1754,1.0
1755,0.3
1756,0.8
1757,0.2
1758,0.2
1759,0.3
1760,0.4
1761,0.2
1762,0.3
1763,0.1
1764,0.4
1765,0.3
1766,0.2
1767,0.3
1768,0.3
1769,0.6
1770,0.2
1771,0.2
1772,0.4
1773,0.5
1774,0.0
1775,0.6
1776,0.4
1777,0.3
1778,0.3
1779,0.8
1780,0.0
1781,1.2
1782,0.2
1783,0.4
1784,1.2
1785,0.5
1786,0.4
1787,0.0
1788,0.0
1789,0.3
1790,0.3
1791,0.3
1792,0.0
1793,0.5
1794,0.1
1795,0.1
1796,0.6
1797,0.5
1798,0.0
1799,0.0
1800,0.1
1801,0.1
1802,0.0
1803,0.0
1804,0.0
1805,0.6
1806,0.0
1807,0.0
1808,0.6
1809,0.4
1810,0.0
1811,0.0
1812,0.3
1813,0.1
1814,0.0
1815,0.0
1816,0.1
1817,0.4
1818,0.0
1819,0.1
1820,0.0
1821,0.3
1822,0.2
1823,0.8
1824,0.9
1825,0.8
1826,0.4
1827,0.4
1828,0.0
1829,0.3
1830,0.1
1831,0.3
1832,0.0
1833,0.1
1834,0.2
1835,0.4
1836,0.1
1837,1.1
1838,0.0
1839,0.1
1840,0.0
1841,0.1
1842,0.0
1843,0.0
1844,0.1
1845,0.1
1846,0.0
1847,0.0
1848,0.0
1849,0.2
1850,0.0
1851,0.0
1852,0.2
1853,0.4
1854,0.0
1855,0.1
1856,0.0
1857,0.2
1858,0.1
1859,0.2
1860,0.0
1861,0.3
1862,0.1
1863,0.2
1864,0.0
1865,0.1
1866,0.2
1867,0.0
1868,0.1
1869,0.2
1870,0.1
1871,0.1
1872,0.3
1873,0.0
1874,0.3
1875,0.1
1876,0.0
1877,0.5
1878,0.1
1879,0.2
1880,0.2
1881,0.1
1882,0.5
1883,0.6
1884,0.4
1885,0.4
1886,0.3
1887,0.1
1888,0.2
1889,0.1
1890,0.1
1891,0.6
1892,0.0
1893,1.6
1894,0.4
1895,0.0
1896,0.3
1897,0.0
1898,0.1
1899,0.8
1900,0.0
1901,0.2
1902,0.8
1903,0.0
1904,0.0
1905,0.9
1906,0.0
1907,0.2
1908,0.8
1909,0.0
1910,0.2
1911,0.9
1912,0.3
1913,0.2
1914,0.7
1915,0.6
1916,0.1
1917,0.7
1918,0.9
1919,0.2
1920,0.0
1921,0.9
1922,0.6
1923,0.0
1924,1.0
1925,0.4
1926,0.9
1927,0.0
1928,0.1
1929,0.6
1930,1.2
1931,0.4
1932,0.5
1933,0.5
1934,0.4
1935,0.0
1936,1.3
1937,0.3
1938,0.5
1939,0.3
1940,0.3
1941,0.3
1942,0.6
1943,0.0
1944,0.9
1945,0.2
1946,0.2
1947,0.0
1948,0.7
1949,0.1
1950,0.9
1951,0.0
1952,0.5
1953,0.3
1954,0.3
1955,0.0
1956,0.3
1957,0.5
1958,0.2
1959,0.3
1960,0.2
1961,0.3
1962,0.2
1963,0.1
1964,0.0
1965,0.2
1966,0.4
1967,0.5
1968,0.3
1969,0.7
1970,0.2
1971,0.2
1972,0.6
1973,1.0
1974,0.0
1975,0.8
1976,0.5
1977,0.5
1978,0.3
1979,0.4
1980,1.1
1981,0.8
1982,0.2
1983,1.3
1984,0.9
1985,0.2
1986,0.0
1987,0.9
1988,0.3
1989,1.4
1990,0.0
1991,0.2
1992,0.9
1993,0.4
1994,0.2
1995,0.0
1996,0.5
1997,0.0
1998,0.5
1999,0.5
2000,0.8
2001,0.4
2002,0.5
2003,0.6
2004,0.0
2005,0.2
2006,0.2
2007,0.8
2008,0.0
2009,0.4
2010,0.2
2011,0.2
2012,0.0
2013,0.2
2014,0.6
2015,0.6
2016,0.0
2017,0.7
2018,0.2
2019,0.2
2020,0.0
2021,0.4
2022,0.5
2023,0.3
2024,0.0
2025,0.2
2026,0.3
2027,0.4
2028,0.7
2029,0.6
2030,0.0
2031,0.3
2032,0.5
2033,0.3
2034,0.3
2035,0.3
2036,0.4
2037,0.7
2038,0.2
2039,0.4
2040,0.2
2041,0.5
2042,0.1
2043,0.7
2044,0.3
2045,0.3
2046,0.4
2047,0.4
2048,0.5
2049,0.7
2050,0.4
2051,0.1
2052,0.1
2053,0.5
2054,0.4
2055,0.6
2056,0.1
2057,0.3
2058,0.2
2059,0.4
2060,0.0
2061,0.2
2062,0.2
2063,0.3
2064,0.1
2065,0.1
2066,0.2
2067,0.2
2068,1.5
2069,0.1
2070,0.2
2071,1.0
2072,0.4
2073,0.1
2074,1.6
2075,0.0
2076,0.3
2077,0.9
2078,0.1
2079,0.2
2080,0.4
2081,0.1
2082,0.0
2083,1.1
2084,0.7
2085,0.3
2086,1.5
2087,0.5
2088,0.2
2089,0.8
2090,0.5
2091,0.8
2092,1.2
2093,0.1
2094,1.3
2095,0.5
2096,0.2
2097,0.2
2098,1.0
2099,0.2
2100,0.2
2101,0.4
2102,0.9
2103,0.2
2104,0.9
2105,0.0
2106,0.6
2107,0.3
2108,0.5
2109,0.2
2110,0.4
2111,0.3
2112,0.6
2113,0.1
2114,0.6
2115,0.3
2116,0.3
2117,0.2
2118,0.8
2119,0.1
2120,0.1
2121,0.5
2122,0.7
2123,0.4
2124,0.2
2125,0.3
2126,0.2
2127,0.3
2128,0.1
2129,0.3
2130,0.7
2131,0.2
2132,0.3
2133,0.6
2134,0.8
2135,0.0
2136,0.9
2137,0.1
2138,0.2
2139,0.8
2140,0.0
